image_id,filename,codec,quality,ssim,psnr,msssim,msssim_db,bytes,bpp,perceptual similarity
4,kodim10.png,guetzli,97,0.9764304369964831,40.84747037791558,0.9972541387615488,25.613214135295657,121463,3.706756591796875,0.006160799879580736
4,kodim10.png,guetzli,95,0.9686867697159459,39.37809667220673,0.9961855080544895,24.18563297802041,92260,2.8155517578125,0.009604180231690407
4,kodim10.png,guetzli,93,0.9594887784637166,38.25151923032338,0.9949270994675529,22.947436530842996,75610,2.30743408203125,0.016017775982618332
4,kodim10.png,guetzli,91,0.9499804153974621,37.34621346791178,0.9931847959113812,21.665211342190624,58062,1.77191162109375,0.02693677507340908
4,kodim10.png,guetzli,89,0.941730305802008,36.578687908356606,0.9918597419691851,20.893618285772643,49642,1.51495361328125,0.03906191140413284
4,kodim10.png,guetzli,87,0.9318152139544414,35.80378461536304,0.9901078044178324,20.04707305632976,40721,1.242706298828125,0.056827910244464874
4,kodim10.png,guetzli,85,0.9249118232810308,35.267198967890636,0.9887179587887772,19.476123182098135,36597,1.116851806640625,0.07069405913352966
5,kodim13.png,guetzli,99,0.9887119518466143,38.15080235031273,0.9986511703277263,28.700428887728762,201385,6.145782470703125,0.007865939289331436
5,kodim13.png,guetzli,97,0.9774059071817485,35.13679553029223,0.9973498626482474,25.767316167943658,140170,4.27764892578125,0.01412543747574091
5,kodim13.png,guetzli,95,0.9641230926425185,33.03802918985643,0.9956447634644009,23.609882532129525,115217,3.516143798828125,0.02107101120054722
5,kodim13.png,guetzli,93,0.9504512394966854,31.586265073098364,0.993705220470811,22.01019476188906,103004,3.1434326171875,0.028769347816705704
5,kodim13.png,guetzli,91,0.9375149264702016,30.532126342698405,0.9915621839017592,20.737699442764395,85827,2.619232177734375,0.037133149802684784
5,kodim13.png,guetzli,89,0.9242252231763133,29.63371494849897,0.9891981952658638,19.66503677791139,76522,2.33526611328125,0.04659798741340637
5,kodim13.png,guetzli,87,0.909546547776723,28.792592581117134,0.9865059922585011,18.69859045026338,68794,2.09942626953125,0.05698274075984955
5,kodim13.png,guetzli,85,0.8976405768115719,28.245391552163255,0.9840144804582438,17.96273244256156,62548,1.9088134765625,0.0637703388929367
6,kodim22.png,guetzli,99,0.9839453213344168,41.549611523899834,0.9982146348551635,27.48272948084017,175810,5.36529541015625,0.003025330137461424
6,kodim22.png,guetzli,97,0.9709097029626048,38.80639623103609,0.996577764180627,24.656900674063415,131975,4.027557373046875,0.007977777160704136
6,kodim22.png,guetzli,95,0.9591492297381233,37.17268161678503,0.9948385440445597,22.872277742985638,95756,2.9222412109375,0.01385041605681181
6,kodim22.png,guetzli,93,0.9477015128654566,36.0209784298051,0.9930407326046925,21.574364763264377,79976,2.440673828125,0.019980765879154205
6,kodim22.png,guetzli,91,0.9374311776181398,35.178184529280934,0.9911918636135059,20.551159693038763,67300,2.0538330078125,0.029215436428785324
6,kodim22.png,guetzli,89,0.9277509487611648,34.494886348089516,0.9895025196565551,19.789149299066374,60405,1.843414306640625,0.038866471499204636
6,kodim22.png,guetzli,87,0.9172271163167528,33.85865548592878,0.987504383309183,19.032423054591142,52698,1.60821533203125,0.05055579915642738
6,kodim22.png,guetzli,85,0.909442883876837,33.41765277507362,0.9859455588346347,18.521864181905293,48672,1.4853515625,0.05963613837957382
7,kodim23.png,guetzli,99,0.9877450713889361,43.96003685056799,0.9987034134079541,28.871984737331044,178615,5.450897216796875,0.0016772414091974497
7,kodim23.png,guetzli,97,0.9782319603561215,41.106857956292004,0.9975873618408074,26.175078074942505,128532,3.9224853515625,0.0035635889507830143
7,kodim23.png,guetzli,95,0.9709570995690227,39.55189424188085,0.9965828468995649,24.66335562850457,111262,3.39544677734375,0.007177713792771101
7,kodim23.png,guetzli,93,0.9630148021756607,38.348481263190386,0.9952765796836143,23.257434067491584,74481,2.272979736328125,0.013434145599603653
7,kodim23.png,guetzli,91,0.9547059080854995,37.43509912160705,0.9939648565433647,22.193124021723314,59254,1.80828857421875,0.024953892454504967
7,kodim23.png,guetzli,89,0.9482722258693471,36.68276943619587,0.9928041954464779,21.429206411129776,49971,1.524993896484375,0.037911638617515564
7,kodim23.png,guetzli,87,0.9414007156848035,35.95400601816409,0.9915959165637965,20.75509644545133,41989,1.281402587890625,0.05002530664205551
7,kodim23.png,guetzli,85,0.9364626642575766,35.50348012592897,0.9906682963236388,20.30039060465989,38368,1.1708984375,0.0577787421643734
8,kodim19.png,guetzli,99,0.988398008393081,41.107613023386136,0.9986040125451061,28.551184845028573,167677,5.117095947265625,0.0033663532231003046
8,kodim19.png,guetzli,97,0.9785662392603891,38.33747334392724,0.9973726139763376,25.804761146405795,127883,3.902679443359375,0.007706156000494957
8,kodim19.png,guetzli,95,0.9692418758829794,36.47118088657261,0.9959571822256735,23.933158335829752,91616,2.7958984375,0.012365576811134815
8,kodim19.png,guetzli,93,0.9600712640721668,35.109843994465976,0.9944725758191394,22.574772058835215,80328,2.451416015625,0.01725981943309307
8,kodim19.png,guetzli,91,0.9499959934837721,33.946830378226565,0.9926391861289409,21.330741639004685,64467,1.967376708984375,0.02570703998208046
8,kodim19.png,guetzli,89,0.9414706481743841,33.14375498221763,0.991019646842978,20.467065841422638,57238,1.74676513671875,0.035478901118040085
8,kodim19.png,guetzli,87,0.9318771014942842,32.37433936874899,0.9891133115458841,19.631042051678033,49277,1.503814697265625,0.04797463119029999
8,kodim19.png,guetzli,85,0.9246524794012968,31.83433057687642,0.9876742471479876,19.09186544708809,44082,1.34527587890625,0.05780380219221115
9,kodim06.png,guetzli,99,0.988412623348458,41.275446714955166,0.9984620663851337,28.130624105160386,169628,5.1766357421875,0.004535962827503681
9,kodim06.png,guetzli,97,0.9772875558209496,38.14698046923368,0.996938997726612,25.14136347854641,129133,3.940826416015625,0.01030482817441225
9,kodim06.png,guetzli,95,0.9654128454576218,36.18264029076014,0.9949409997231197,22.959352968223882,86176,2.6298828125,0.01834121346473694
9,kodim06.png,guetzli,93,0.9542464683962235,34.83609732388662,0.9929719774471969,21.53166853531008,70653,2.156158447265625,0.025559473782777786
9,kodim06.png,guetzli,91,0.9435623642938783,33.84701737448366,0.9909124453633582,20.41552965038467,60710,1.85272216796875,0.03336015343666077
9,kodim06.png,guetzli,89,0.9339031123287708,33.0644587727287,0.9888258096515875,19.517839348587003,53347,1.628021240234375,0.03933447599411011
9,kodim06.png,guetzli,87,0.9228199914170726,32.291291476550185,0.9865364040960468,18.70838931740859,48627,1.483978271484375,0.04645858705043793
9,kodim06.png,guetzli,85,0.9136285316403429,31.770290584281454,0.9843933575279404,18.06690518634954,43812,1.3370361328125,0.05202583968639374
10,kodim12.png,guetzli,99,0.9872067016093652,44.092592992032245,0.9982536454840828,27.578675884208895,159217,4.858917236328125,0.003395088715478778
10,kodim12.png,guetzli,97,0.975229614751035,41.19152136883965,0.9966601944785874,24.762788216424568,116192,3.5458984375,0.008666832000017166
10,kodim12.png,guetzli,95,0.9637147318038991,39.41533113869332,0.9948308825398463,22.865835990536283,83950,2.56195068359375,0.01609472557902336
10,kodim12.png,guetzli,93,0.952986916051155,38.29465150677749,0.992895220934082,21.484494225844394,62039,1.893280029296875,0.023592360317707062
10,kodim12.png,guetzli,91,0.9436882720748083,37.40530271441396,0.9910783776250863,20.495561630672775,53714,1.63922119140625,0.033073097467422485
10,kodim12.png,guetzli,89,0.9351310720302277,36.74402024949046,0.989352225099712,19.727411386562338,45652,1.3931884765625,0.04132344573736191
10,kodim12.png,guetzli,87,0.9252611389675218,36.084304534746565,0.987200228347122,18.927977780692885,40371,1.232025146484375,0.048777513206005096
10,kodim12.png,guetzli,85,0.917866454217423,35.64878660759715,0.9854675235956111,18.376603735119154,37449,1.142852783203125,0.056585513055324554
11,kodim02.png,guetzli,99,0.9863998259108171,43.82414280642995,0.9983336655436095,27.78237825266105,189892,5.7950439453125,0.0017293898854404688
11,kodim02.png,guetzli,97,0.9733657226250277,40.83053717903869,0.9965186092511923,24.582472290779247,139463,4.256072998046875,0.00432815495878458
11,kodim02.png,guetzli,95,0.9618407426624285,39.17958311572502,0.9946883228637066,22.747683308892043,111998,3.41790771484375,0.00841937679797411
